symbol,company,Business Content
GSM,Ferroglobe PLC,シリコン金属及びシリコンベース合金の生産している会社
GT,Goodyear Tire &amp; Rubber,タイヤの生産、ゴム・ゴム関連化学品の製造、自動車修理サービス
GTAC,Global Technology Acquisition Corp1 A,ブランクチェックカンパニー。
GTBP,GT Biopharma Inc,新しい免疫腫瘍学製品の開発に注力する臨床段階のバイオ医薬品企業。
GTE,Gran Tierra Energy Inc,石油・ガスの、探鉱、開発、生産に従事するエネルギー関連企業
GTEC,Greenland Technologies Holdi,電気自動車関連の会社。
GTES,Gates Industrial Corporation PLC,米国の産業機器メーカー
GTHX,G1 Therapeutics Inc,臨床ステージで、がん治療の新薬や治療法の発見・開発に従事している米国のバイオ医薬品企業
GTI,Graphjet Technology,農業廃棄物から黒鉛を生産する特許技術を持つ企業。
GTIM,Good Times Restaurants Inc,レストラン。レストランチェーン「Good Times Drive Thru Burgers」の開発、運営、フランチャイズを手掛ける。
GTLB,Gitlab Inc,ソフトウェア開発に必要な多くの機能を統合したソフトウェアソリューションの設計・開発。
GTLS,Chart Industries,炭化水素および工業ガスの 生産・貯蔵・使用のための機器を製造する金属機器メーカー。
GTN,Gray Television Inc,米国のテレビ局
GTX,Garrett Motion Inc,輸送システムとターボチャージャー、エンジン、ディーゼルタンクなどの関連部品を提供
GURE,Gulf Resources Inc,油田採掘をする会社。
GVA,Granite Construction,土木建設と輸送の請負業を展開している土木関連会社。
GVP,GSE Systems Inc,人材派遣会社。
GWH,ESS Tech Inc,エネルギー貯蔵会社。
GWRE,Guidewire Software,米国のソフトウェア開発企業。損害保険業界に特化したソフトウェア製品を提供。
GWRS,Global Water Resources Inc,米国の水資源管理企業
GWW,WW Grainger,北米の商業、工業、工事請負業者および企業向けに、メンテナンス、修理、作業用の資材用品を販売
GXO,GXO Logistics Inc,ロジスティックス事業を行う会社。
H,Hyatt Hotels A,世界規模で展開する大型ホテルチェーン
HA,Hawaiian,旅客、貨物、 郵便およびチャーター便を提供する航空会社。ハワイ州内およびハワイと米国西海岸の都市などの地域間で事業を展開している。
HAE,Haemonetics Corp,米国の医療機器メーカー。血液の自動処理システムの設計、製造、販売を手掛けている。
HAFC,Hanmi Financial oration,カリフォルニア州南部の多民族的中小企業を中心に事業を展開する法人向け銀行。
HAIA,Healthcare AI Acquisition Corp A,ブランクチェックカンパニー。
HAIN,Hain Celestial Group,オーガニック食品・飲料メーカー
HAL,Halliburton,世界的油田サービス会社
HALO,Halozyme Therapeutics Inc,糖尿病、がん、皮膚病治療用の薬品をはじめ、薬剤送達市場向けの製品を開発しているバイオ医薬品メーカー。
HAPP,Happiness Biotech Group Limited,ビタミン及び栄養補助食品製品などの製造・販売を行っている企業
HARP,Harpoon Therapeutics Inc,米国の医薬品メーカー
HAS,Hasbro,玩具メーカー
HAYN,Haynes International Inc,米国の高性能合金製造会社
HAYW,Hayward Holdings  Inc,プール機器および関連する自動システム製品の製造、販売に従事する米国の企業
HBAN,Huntington Bancshares,銀行持株会社
HBB,Hamilton Beach Brand Holding Company A,米国の家電製品メーカー持株会社
HBCP,Home Bancorp Inc,貯蓄銀行ホーム・バンクの持株会社
HBI,Hanesbrands,男性・女性・子供用衣料を製造する衣料品メーカー
HBIO,Harvard Bioscience Inc,米国の医療機器製造会社
HBM,Hudbay Minerals Inc,貴金属・卑金属の発掘・生産・販売を行うカナダの鉱業会社
HBNC,Horizon Bancorp Inc IN,米国の銀行持株会社
HBT,HBT Financial Inc,米国の銀行系持株会社
HCA,HCA Healthcare,医療・病院チェーンを運営
HCAT,Health Catalyst Inc,医療機関にデータと分析技術およびサービスを提供する会社。
HCC,Warrior Met Coal Inc,鉄鋼業用原料炭の生産、輸出を手掛ける石炭採掘会社。
HCI,HCI Group Inc,損害保険持株会社
HCKT,Hackett Group,ビジネスコンサルティングとテクノロジー導入サービスを手掛けるEビジネス・コンサルティング会社
HCMA,HCM Acquisition Corp A,ブランクチェックカンパニー。
HCP,HashiCorp Inc,ソフトウェア会社。
HCSG,Healthcare Services Group,米国各地にある老人ホームや病院を含むヘルスケア産業に管理・行政・運営サービスを提供している企業。
HCTI,Healthcare Triangle Inc,医療情報技術を提供する会社。
HCVI,Hennessy Capital Investment Corp6 A,ブランクチェックカンパニー。
HCWB,HCW Biologics Inc,免疫療法などの開発を手がけるバイオ医薬品企業。
HD,The Home Depot,住宅用建材、ガーデニング品販売
HDSN,Hudson Technologies,冷却剤販売会社。
HE,Hawaiian Electric Industries,ハワイ州で電気公益事業および銀行事業を展開する持株会社
HEAR,Turtle Beach,ビデオゲームコンソール、パソコン、およびモバイル機器用の音声周辺機器を設計・販売する米国と英国で事業を展開する音響技術会社。
HEES,H&amp;E Equipment Services Inc,建設用重機と工業用機器を提供する総合設備機器サービス会社。
HEI,HEICO,航空機器メーカー。航空機器の製造、販売を手掛け、世界の航空会社、航空エンジンメーカーのほか、軍隊、NASA等に提供する。
HELE,Helen Of Troy Ltd,英国(バミューダ籍)の消費者製品メーカー。
HEPA,Hepion Pharmaceuticals Inc,バイオ医薬品会社
HES,Hess,国際的総合エネルギー会社
HFBL,Home Federal Bancorp Inc LA,預金・信用業務を提供しているHome Federal Savings and Loan Associationの持株会社。
HFFG,HF Foods Group Inc,フードサービス提供会社。
HFWA,Heritage Financial Corp,米国の銀行持株会社
HGAS,Global Gas Corp,ピュアプレイ水素・炭素回収プロジェクト開発企業および産業ガス供給企業
HGTY,Hagerty Inc A,自動車関連の保険会社。
HGV,Hilton Grand Vacations,バケーションオーナーシップのリゾート開発、販売、運営している会社。
HHGC,HHG Capital Corporation,ブランクチェックカンパニー。
HHH,Howard Hughes Holdings Inc,都市計画地域、ショッピングモール、および多目的開発地域の開発に従事している不動産開発会社。
HHS,Harte Hanks,米国のマーケティング会社
HI,Hillenbrand Inc,加工アプリケーション用機器とシステムの設計、製造、販売、サービスを提供している企業間取引用製品メーカー。
HIBB,Hibbett Inc,米国でスポーツ用品チェーンを展開
HIFS,Hingham Institution for Savings,米国の預金銀行
HIG,Hartford Financial Services Group,保険会社
HIHO,Highway Holdings Limited,日本、ドイツ及び米国の相手先商標製品製造会社(OEM)と受託製造業者向けに金属、プラスチック、電気･電子部品、部分組立品及び完成品を製造する会社。
HII,Huntington Ingalls Industries,防衛関係を中心とした造船会社
HIMS,Hims &amp; Hers Health  Inc,消費者を認可された医療専門家につなぐ遠隔医療プラットフォームを提供する企業
HIPO,Hippo Holdings Inc,子会社を通じて、電子機器やホームオフィス機器の家庭用保険サービスを提供
HITI,High Tide Inc,カナダ、欧州、米国などで大麻に関する小売り事業を展開する。
HIVE,Hive Digital Technologies Ltd,デジタル通貨マイニングをする会社。
HL,Hecla Mining,鉱山会社
HLF,Herbalife Ltd,英国領ケイマン諸島に本社を置く健康促進関連会社。
HLI,Houlihan Lokey,M&A、資金調達支援など投資銀行業務を展開
HLIO,Helios Technologies Inc,米国の液圧装置関連部品メーカー
HLIT,Harmonic,デジタルと光ファイバーシステムのメーカー
HLLY,Holley Inc,クラシックカーやモダンカーを対象とする高性能な自動車アフターマーケット製品の設計・製造・販売に従事。
HLMN,Hillman Solutions Corp A,ホームセンター、量販店、全国および地域の金物店、ペット用品店、産業界の顧客に製品を供給するハードウェアソリューションを提供。
HLNE,Hamilton Lane Incorporated,米国の独立系投資運用会社
HLT,Hilton Worldwide Holdings,世界的な規模のホテル運営会社
HLTH,Cue Health Inc,Cueインテグレーテットケアプラットフォームを開発する会社。
HLVX,Hillevax Inc,ノロウイルス向けワクチンの開発を行う
HLX,Helix Energy Solutions Group Inc,海洋掘削請負のほかオフショア油・ガス田と生産設備の運営に従事する油田サービス会社。
HMN,Horace Mann Educators Corporation,個人向けの損害保険、退職年金、生命保険の販売、引受けに従事している保険持株会社。
HMNF,HMN Financial Inc,米国の株式貯蓄銀行持株会社
HMST,HomeStreet Inc,米北西部、西海岸、およびハワイで金融サービスを提供している会社
HNI,HNI Corporation,オフィス家具メーカー。
HNRA,HNR Acquisition Corp,石油、天然ガスを開発する会社。
HNRG,Hallador Energy Company,石油、ガス開発をする会社。
HNST,The Honest Company  Inc,オンライン小売会社
HOFT,Hooker Furnishings Corp,米国の家具販売会社
HOFV,Hall of Fame Resort &amp; Entertainment Company,米国のリゾート・娯楽関連企業
HOG,Harley-Davidson,大型オートバイメーカー
HOLI,Hollysys Automation Technologies Ltd,中国の制御機器・システムメーカー
HOLO,MicroCloud Hologram Inc,ホログラフィック技術の研究開発と応用に注力
HOLX,Hologic,X線システムメーカー
HOMB,Home BancShares Inc,子会社を通じて、一般企業、不動産開発業者、投資家、個人、自治体を対象とした商業およびリテール銀行業務全般を提供している銀行持株会社。
HON,Honeywell International,総合テクノロジー企業
HONE,HarborOne Bancorp Inc,米国の銀行持株会社
HOOD,Robinhood Markets Inc A,株式、オプション、ETF、暗号資産などの売買を行うことができるアプリを運営。
HOOK,HOOKIPA Pharma Inc,米国のバイオ医薬品企業
HOPE,Hope Bancorp Inc,完全子会社BBCN Bank（同行）を通じて商業銀行融資・預金商品を提供している企業
HOTH,Hoth Therapeutics Inc,アトピー性皮膚炎（湿疹）等の患者を対象とした治療に焦点を当てた開発段階のバイオ医薬品会社。
HOUR,Hour Loop Inc,米国市場でeコマース小売を行うオンライン小売業者。
HOUS,Anywhere Real Estate Inc,不動産仲介ネットワークの世界大手
HOV,Hovnanian Enterprises Inc A,米国の住宅建設会社
HOWL,Werewolf Therapeutics Inc,癌治療のパイプラインの開発に注力するバイオ医薬品会社。
HP,Helmerich &amp; Payne,掘削請負会社
HPE,Hewlett Packard Enterprise,米国大手のコンピュータ・IT企業。HPのエンタープライズ部門
HPK,HighPeak Energy Inc,石油・天然ガス会社
HPQ,HP,大手コンピューターメーカー
HQI,HireQuest Inc,米国の人材派遣会社
HQY,HealthEquity Inc,米国で医療関連の医療保険プラン向けにクラウドベースの医療貯蓄口座、医療費払戻口座、フレキシブル支出口座、健康維持奨励口座といったプラットフォームITサービスを提供。
HRB,H&amp;R Block,金融サービス会社
HRI,Herc Holding,レンタル用品事業等を手掛ける会社
HRL,Hormel Foods,食品加工業者
HRMY,Harmony Biosciences Holdings Inc,神経疾患患者用の治療薬を開発をしている商業段階の製薬会社
HROW,Harrow Inc,米国の製薬会社
HRT,HireRight Holdings Corp,企業のリスク管理とコンプライアンスのソリューションを提供。
HRTG,Heritage Insurance Holdings Inc,損害保険持株会社
HRTX,Heron Therapeutics,バイオテクノロジー会社。
HSDT,Helius Medical Technologies,神経学的健康に焦点を当てる医療技術企業。
HSIC,Henry Schein,医療用などのヘルスケア製品を供給
HSII,Heidrick &amp; Struggles International Inc,米国の人材サーチ及び仲介会社
HSON,Hudson Global Inc,専門スタッフの募集、関連素質ソリューションを提供する専門会社
HSTM,Healthstream Inc,米国のSaaS（ネットワークを介して必要に応じて利用できるソフトウェア）型ソリューションプロバイダ
HSY,The Hershey,米国最大手のチョコレート会社。傘下に多くの菓子製造会社を擁する
HTBI,Hometrust Bancshares Inc,HomeTrust Bankを運営する銀行持株会社
HTBK,Heritage Commerce Corp,Heritage Bank of Commerceの銀行持株会社
HTCR,Heartcore Enterprises Inc,ソフトウエアを開発する会社。
HTH,Hilltop Holdings Inc,米国の金融持株会社
HTLD,Heartland Express Inc,米国の物流持株会社
HTLF,Heartland Financial USA Inc,米国の金融サービス持株会社
HTOO,Fusion Fuel Green PLC A,グリーン水素の技術開発を行う企業
HTPA,Highland Transcend Partners I Corp,主に北米とヨーロッパ市場の、コマース、デジタルメディアとサービス、エンタープライズソフトウェアセクターに焦点を当てるブランクチェックカンパニー。
HTZ,"Hertz Global Holdings, Inc.",自社あるいはフランチャイズ店舗でレンタカーを提供。
HUBB,Hubbell Incorporated,商工業、通信、公益事業向けの製造に従事する電気・電子製品メーカー。
HUBC,Hub Cyber Security Ltd,グローバル サイバー セキュリティ製品とサービスを提供
HUBG,Hub Group Inc A,米国の貨物輸送会社
HUBS,HubSpot,情報テクノロジー関連会社
HUDI,Huadi International Group Co Ltd,鉄鋼関連企業。
HUGE,FSD Pharma Inc B,カナダのバイオテクノロジー・製薬会社
HUM,Humana,米国とプエルトリコの医療会員を対象としたマネージドヘルスケア会社
HUMA,Humacyte Inc,移植医療機器を製造する会社。
HUN,Huntsman,日用化学製品を製造
HURC,Hurco Companies Inc,米国で工作機械を設計、製造、販売している会社
HURN,Huron Consulting Group Inc,米国の独立系コンサルティング会社
HUSA,Houston American Energy Corp,石油ガスの開発をする会社。
HUT,Hut 8 Mining Corp,カナダのビットコインの会社。
HVT,Haverty Furniture Companies Inc,住宅家具・装飾品の専門小売業者
HWBK,Hawthorn Bancshares Inc,米国の銀行持株会社
HWC,Hancock Whitney Corporation,米国の金融持株会社
HWEL,Healthwell Acquisition Corp1 A,ブランクチェックカンパニー。
HWH,HWH International Inc,健康をサポートする企業
HWKN,Hawkins Inc,様々な業界向けにバルク化学品、混合物、特殊化学製品を製造販売している米国の化学品メーカー
HWM,Howmet Aerospace Inc,航空機及び自動車用アルミ部品等の製造会社
HXL,Hexcel Corporation,補強製品、複合素材、エンジニアード製品の設計、製造、販売をしている会社。
HY,Hyster Yale Materials Handling Inc,米国のマテリアルハンドリング機器メーカー
HYFM,Hydrofarm Holdings Group  Inc,照明器具や空調機器を製造販売する米国の企業
HYLN,Hyliion Holdings Corp,商用車業界向けの電動パワートレインソリューションのプロバイダー
HYMC,Hycroft Mining Holding Corp,金と銀の生産を行う。
HYPR,Hyperfine Inc,医療機器を製造する会社。
HYZN,Hyzon Motors Inc,水素モビリティ企業
HZO,MarineMax Inc,米国の娯楽用ボート・ヨット小売会社
IAC,IAC Inc,インターネット事業会社
IAG,IAMGOLD,カナダの中堅金鉱山会社
IART,Integra LifeSciences Holdings,医療器具、移植組織、およびバイオ素材の開発・製造・販売に従事する医療機器メーカー。
IAS,Integral Ad Science Holding Co,子会社を通じて、デスクトップ、モバイル、コネクティッドTVなど、あらゆるデバイス、チャネル、フォーマットにおけるデジタル広告の測定と検証に従事。
IBCP,Independent Bank Corp MICH,米国の銀行持株会社
IBEX,IBEX Holdings Limited,IT・ソフトウェア企業。テクノロジー対応のCLXプラットフォームを通じ、幅広いソリューションを提供。
IBIO,iBio Inc,特許プラットフォームテクノロジーの商品化に従事するバイオテクノロジー企業
IBKR,Interactive Brokers Group Inc A,オンライン証券会社
IBM,International Business Machines,大手コンピューターメーカー
IBOC,International Bancshares,子会社を通じて、法人および個人向けに銀行業務に従事している銀行持株会社。
IBP,Installed Building Products Inc,米国の住宅用断熱材販売会社。
IBRX,ImmunityBio Inc,米国のバイオ医薬品企業
IBTX,Independent Bank Group Inc,米国の銀行持株会社
ICAD,iCAD Inc,癌の画像診断システムを販売する米国の会社
ICCC,ImmuCell Corporation,米国の乳牛用製品メーカー
ICCH,ICC Holdings Inc,食品、飲料業界向けの保険商品を提供する会社。
ICCM,Icecure Medical Ltd,イスラエルの乳がん治療法を開発する会社。
ICD,Independence Contract Drilling Inc,石油・天然ガス生産業界向けに陸上掘削サービスを提供する会社
ICE,Intercontinental Exchange,先物・オプションを中心とした電子取引所大手。傘下のNYSEを通じて株式取引も手掛ける
ICFI,ICF International Inc,子会社を通じ、政府と商業顧客へ管理、技術、方針に関するコンサルティングと計画の実施サービスを提供している米国の持株会社
ICHR,Ichor Holdings Ltd,米国のケイマン籍のエンジニアリング持株会社
ICL,ICL Group Ltd,イスラエルの工業製品を開発する会社。
ICLR,Icon Public Limited Company,バイオテクノロジー及び医療機器業界向けに受託開発サービスの提供に従事している企業
ICU,SeaStar Medical Holding Corp,サイトカインストームに特化した医療を提供する
ICUI,ICU Medical,米国の医療機器メーカー。注入療法、抗がん剤療法および救命救急診療用に医療機器を開発、製造、販売する。
ICVX,Icosavax Inc,呼吸器系疾患を中心とした感染症に対するワクチンを開発するバイオ医薬品企業。
IDA,Idacorp Inc,子会社を通じ、米国アイダホ州南部、オレゴン州東部、ネバダ州北部、ワイオミング州の商業及び工業分野の顧客に電力を提供している。また、住宅開発事業も展開している。
IDAI,T Stamp Inc A,AI関連ビジネスをする会社。
IDCC,InterDigital,最新式デジタル無線通信向け開発メーカー
IDEX,Ideanomics Inc,商用電気自動車普及の促進、次世代型金融サービスやフィンテック商品を開発
IDN,Intellicheck Inc,アプリケーション・ソフトウエア開発会社
IDT,IDT Corp B,通信事業を中心とする持株会社
IDXX,IDEXX Laboratories,検出・診断システム会社
IDYA,IDEAYA Biosciences Inc,がん分子標的治療薬の発見および開発を手掛ける
IESC,IES Holdings Inc,電気工事請負会社
IEX,IDEX,ポンプメーカー。ポンプ製品、給水装置、およびその他の工学製品の設計・製造・販売に従事。
IFBD,Infobird Co Ltd,主にソフトウェア・アズ・ア・サービス（SaaS）と革新的な人工知能（AI）を活用した製品を提供。
IFF,International Flavors &amp; Fragrances,香水・化粧品や食品などの香味料メーカー
IFIN,InFinT Acquisition Corporation A,ブランクチェックカンパニー。
IFRX,Inflarx Nv,ドイツを拠点とする臨床段階のバイオ医薬品会社。
IFS,Intercorp Financial Services,ペルーで金融サービスを提供
IGC,IGC Pharma Inc,バイオ医薬品会社。
IGIC,International General Insurance Holdings Ltd,保険サービスを提供している会社
IGMS,IGM Biosciences Inc,Igm抗体に関する開発を行う、米国のバイオテクノロジー会社。
IGT,International Game Technology,コンピュータ化したカジノ・ゲーム・システムの設計、製造に従事
IGTA,Inception Growth Acquisition Limited,ブランクチェックカンパニー。
IHRT,iHeartMedia Inc A,ラジオ放送、エンターテインメント・データ配信、メディア広告サービスを提供
IHS,IHS Holding Ltd,共有の通信インフラを所有、運営、開発。
III,Information Services Group Inc,米国のIT研究・顧問会社
IIIN,Insteel Industries Inc,米国の建設用資材製造メーカー
IIIV,I3 Verticals A,米国のビジネスサービス会社。中小企業や各種団体向けに電子決済処理ソリューションのサービスを提供する。
IINN,Inspira Technologies,イスラエルを拠点とする特殊医療機器会社。
IKNA,Ikena Oncology Inc,癌の形成と拡大を促進するシグナル伝達経路を標的とした癌治療法の開発。
IKT,Inhibikase Therapeutics Inc,パーキンソン病の治療薬を開発する製薬会社。
ILMN,Illumina,遺伝的機能・変異の大規模解析ツール開発会社
IMAQ,International Media Acquisition Corp A,ブランクチェックカンパニー。
IMAX,IMAX Corp,エンターテイメント・テクノロジー企業
IMCC,IM Cannabis Corp,カナダの医療用大麻の製造会社。
IMKTA,Ingles Markets Inc A,米国東南部でスーパーマーケット・チェーンを運営している企業
IMMR,Immersion Corporation,デジタル機器の操作を可能にする触覚技術の提供をしている企業
IMMX,Immix Biopharma Inc,癌治療薬等の開発をするバイオ医薬品企業。
IMNM,Immunome  Inc,抗体ベースの薬剤の発見と開発に従事するバイオ医薬品企業
IMNN,Imunon Inc, がんやその他疾病に関する温熱治療器の開発会社。 
IMO,Imperial Oil Limited,原油、天然ガスを開発する会社。
IMPP,Imperial Petroleum Inc,ギリシャの海運会社。
IMRA,Imara Inc,バイオ製薬会社
IMRX,Immuneering Corp A,バイオインフォマティクスを活用して、従来の創薬手法では見つけられないような新薬を開発するバイオ医薬品企業。
IMTE,Integrated Media Technology Limited,3Dディスプレイ技術を開発する会社.
IMTX,Immatics NV,オランダを拠点とする臨床段階のバイオ医薬品企業。
IMUX,Immunic Inc,バイオ治療薬の開発会社
IMVT,Immunovant Inc,自己免疫疾患のための医薬品の発見と製造をする米国のバイオ医薬品企業
IMXI,International Money Express Inc,補助的な金融処理ソリューション及び支払いサービス、電信送金、為替及び現金小切手のサービスを提供。
INAB,IN8bio Inc,固形腫瘍を含む癌の治療に焦点を当て、治療法を開発する臨床段階のバイオテクノロジー企業。
INAQ,Insight Acquisition Corp A,ブランクチェックカンパニー。
INBK,First Internet Bancorp,子会社はオンラインで住宅ローンやカードローンのサービスを提供している銀行持株会社
INBS,Intelligent Bio Solutions Inc,バイオセンサー診断技術会社。
INBX,Inhibrx Inc,生物学的治療法を開発
INCY,Incyte,新治療法の発見や開発を行う
INDB,Independent Bank Corp MA,米国の銀行持株会社
INDI,indie Semiconductor Inc A,自動車技術（オートテック）ソリューションプロバイダー。
INDP,Indaptus Therapeutics Inc,癌等の免疫療法に注力するバイオテクノロジー企業。
INFA,Informatica Inc,ソフトウェアソリューションを提供している企業。
INFN,Infinera Corporation,デジタル光学通信機器の製造に従事する通信機器メーカー。
INFU,InfuSystem Holdings Inc,在宅診療向けに輸血ポンプ等の製品を提供している米国の企業
INGN,Inogen,閉塞性肺疾患患者向けの酸素濃縮器などを提供しているヘルスケア会社。
INGR,Ingredion,とうもろこしの精製を行う食品原料メーカー
INKT,MiNK Therapeutics Inc,癌等の治療薬を開発する製薬会社。
INM,InMed Pharmaceuticals Inc,カンナビノイドの開発を行う製薬会社。
INMB,INmune Bio Inc,米国の製薬会社
INMD,Inmode Ltd,イスラエルの美容向け医療機器メーカー
INNV,Innovage Holding Corp,医療提供プラットフォームを提供。
INO,Inovio Pharmaceuticals Inc,米国のヘルスケア分野で事業を展開する医薬品の研究開発会社。
INOD,Innodata Inc,デジタル情報の作成、管理、配信に関するサービス、製品、ソリューションを手掛けるデジタル・コンテンツ会社。
INSE,Inspired Entertainment Inc,デジタル･ゲーム及びネットワークの開発･運営に従事するグローバルなゲーム技術会社。
INSG,Inseego Corp,5Gなどを手掛けるテクノロジー企業。
INSM,Insmed Inc,バイオ医薬品会社。
INSP,Inspire Medical Systems Inc,閉塞性睡眠時無呼吸症候群（OSA）の患者のための低侵襲性ソリューションの開発と商品化を行う医療技術会社
INST,Instructure Holdings Inc,子会社を通じ、学習管理システムを提供。
INSW,International Seaways Inc,原油、石油を輸送する船舶の製造を行う。
INTA,Intapp Inc,プロフェッショナルおよび金融サービス業界向けに、クラウドベースおよびAIを活用したソフトウェアソリューションを提供しています。
INTC,Intel,半導体（マイクロプロセッサー）最大手
INTE,Integral Acquisition Corporation1 A,ブランクチェックカンパニー。
INTG,The InterGroup Corporation,米国で住宅用不動産の買取、開発等の不動産事業を行う
INTT,inTEST Corporation,半導体検査装置メーカー。
INTU,Intuit,金融管理ソフトウエアとソリューションサービスを提供
INTZ,Intrusion Inc,企業の重要情報を保護するセキュリティ ソフトを提供
INUV,Inuvo Inc,広告、マーケティング、通信サービスを提供。
INVA,Innoviva Inc,ヘルスケア関連に注力する多角的企業。
INVE,Identiv Inc,米国のセキュリティ機器メーカー
INVO,INVO Bioscience Inc,生殖補助医療機器を製造する会社。
INVZ,Innoviz Technologies Ltd,高性能「LiDAR」半導体センサーと知覚ソフトウェアのサプライヤー。
INZY,Inozyme Pharma Inc,石灰化障害の治療のための新薬を開発
IOBT,IO Biotech Inc,免疫システム関連の医薬品企業。
IONM,Assure Holdings Corp,手術に使用する医療機器を製造する会社。
IONQ,IonQ Inc,汎用の量子コンピューティングシステムを開発。
IONS,Ionis Pharmaceuticals Inc,米国で事業を展開しているバイオテクノロジー会社。
IOSP,Innospec Inc,燃料添加剤及び他の特殊化学製品の製造・販売を行っている化学品メーカー
IOT,Samsara Inc,2015年にサンフランシスコで創業したIoT（モノのインターネット）サービスの会社。
IOVA,Iovance Biotherapeutics Inc,バイオテクノロジー企業
IP,International Paper,製紙会社
IPA,ImmunoPrecise Antibodies Ltd,治療用抗体の発見開発をする製薬会社。
IPAR,Inter Parfums Inc,香水及び香水関連製品を製造販売している香水メーカー
IPDN,Professional Diversity Network Inc,オンライン教育関連ビジネスをする会社。
IPG,Interpublic Group,広告代理店組織を運営し、多数の独立系代理店を所有
IPGP,IPG Photonics,資材処理、通信、医療等幅広いアプリケーションに使用する光ファイバー・レーザーの開発・商業化を手掛ける電子部品メーカーです。
IPI,Intrepid Potash Inc,米国の塩化カリウム生産メーカー
IPSC,Century Therapeutics Inc,バイオテクノロジー企業。
IPW,iPower Inc,オンラインの水耕栽培機器サプライヤー。
IPWR,Ideal Power Inc,太陽光発電、グリッドストレージ、電気自動車充電などのパワー変換ソリューションズの開発に携わる企業
IQV,IQVIA Holdings,世界的な医薬品開発受託会社
IR,Ingersoll-Rand Inc,子会社を通じて、真空システム、ボトル吹き込み成形機、ポンプ、および空気とガスの圧縮機を製造している
IRAA,Iris Acquisition Corp A, ブランクチェックカンパニー。
IRBT,iRobot,家庭用の清掃ロボットや軍事用ロボットの製造に従事
IRDM,Iridium Communications,衛星による移動体通信サービスを手掛ける衛星通信会社。政府、企業、一般消費者に対し、音声・データ通信サービスを提供する。
IREN,Iris Energy Ltd,オーストラリアの再生可能エネルギー企業。再生可能エネルギーを利用したデータセンターのインフラを含む実物資産を所有・運営。
IRIX,IRIDEX Corp,眼科学における目の疾患の治療用の治療ベースのレーザーシステム、送達デバイス及び消耗器具のグローバルなプロバイダー。
IRMD,iRadimed,非磁性の輸液ポンプなどを提供する医療機器プロバイダー
IRON,Disc Medicine Inc,バイオ医薬品関連企業。
IROQ,IF Bancorp Inc,米国の銀行持株会社
IRTC,iRhythm Technologies Inc,動悸、息切れ、および疲労症状のための心拍監視装置を提供している医療用機器メーカー。
IRWD,Ironwood Pharmaceuticals Inc,米国の医薬品メーカー
ISDR,Issuer Direct Corporation,企業ディスクロージャーに関するサポートを行っている企業
ISPC,iSpecimen Inc,医学的発見を加速するために、生物試料の調達プロセスを変革するビジネスをする会社。
ISPO,Inspirato Incorporated,旅行関連ビジネスを展開する会社。
ISRG,Intuitive Surgical,手術システム・ メーカー
ISSC,Innovative Solutions and Support Inc,米国の飛行管理システムと全地球測位システム受信機を提供する会社
ISTR,Investar Holding Corporation,米国の銀行持株会社
ISUN,iSun  Inc,太陽光発電ソリューションプロバイダ
IT,Gartner,IT関連の調査会社
ITCI,Intra Cellular Therapies Inc,中枢神経系の障害の治療のための新薬を開発しているバイオ医薬品会社
ITGR,Integer Holdings Corporation,米国の医療機器製造業者
ITI,Iteris Inc,交通流を最適化し、ドライバーの安全性を向上するシステムおよびセンサーを提供
ITIC,Investors Title Co,米国の持株会社
ITOS,iTeos Therapeutics Inc,がん免疫療法の発見・開発
ITRG,Integra Resources Corp,アメリカで鉱物の探査開発を行う会社。
ITRI,Itron,公共事業向けに電気、ガス、水道の使用状況データの収集、伝達、分析用ソリューションを提供、スマートメーターの設計開発
ITRM,Iterum Therapeutics plc,差別化された抗感染薬の開発を行う臨床段階の製薬会社。
ITRN,Ituran Location and Control Ltd,盗難車両の取り戻し、フリート管理と他のアプリケーションで使用される機械同士の無線通信製品及び追跡サービスを提供。
ITT,ITT,エネルギーインフラなどの成長産業向け技術製品メーカー
ITW,Illinois Tool Works,ファスナーや接着剤などの工業製品を製造販売
IVAC,Intevac Inc,データストレージ製品とフラットパネル・ディスプレーの製造に使用される設備機材を設計、製造、販売する会社
IVCB,Investcorp Europe Acquisition Corp1 A,ブランクチェックカンパニー。
IVCP,Swiftmerge Acquisition Corp A,ブランクチェックカンパニー。
IVDA,Iveda Solutions Inc,クラウドビデオの監視技術を提供する会社。
IVVD,Invivyd Inc,臨床段階のバイオ医薬品企業。
IVZ,Invesco,独立系投資管理グループ
IXAQ,9 Acquisition Corp A,ブランクチェックカンパニー。
IXHL,Incannex Healthcare Inc,医薬品開発会社。
IZEA,IZEA Worldwide Inc,ブランドと影響力のあるコンテンツ作成者の間の取引を促進するオンラインマーケットプレイスを運営。
J,Jacobs Solutions Inc,航空宇宙や原子力などのソリューションを提供
JACK,Jack in The Box,米国とカナダで事業を展開している直営とフランチャイズのレストラン運営会社。
JAGX,Jaguar Health  Inc,天然物創薬会社。人と動物のヘルス市場向けに世界で事業を展開。
JAKK,JAKKS Pacific Inc,米国の玩具メーカー
JAMF,Jamf Holding Corp,アップルのデバイスとソフトウェアのITサービスを提供している企業
JAN,JANONE INC,医薬品関連企業。
JANX,Janux Therapeutics Inc,癌に苦しむ患者の治療法の開発に取り組むバイオ医薬品会社。
JAZZ,Jazz Pharmaceuticals,アイルランドの特殊バイオ医薬品会社
